Year,Lag2,Direction
1990,1.572,Down
1990,0.816,Down
1990,-0.27,Up
1990,-2.576,Up
1990,3.514,Up
1990,0.712,Down
1990,1.178,Up
1990,-1.372,Up
1990,0.807,Up
1990,0.041,Down
1990,1.253,Down
1990,-2.678,Up
1990,-1.793,Up
1990,2.82,Up
1990,4.022,Down
1990,0.75,Up
1990,-0.017,Down
1990,2.42,Up
1990,-1.225,Down
1990,1.171,Up
1990,-2.061,Up
1990,0.729,Up
1990,0.112,Down
1990,2.48,Down
1990,-1.552,Down
1990,-2.259,Down
1990,-2.428,Down
1990,-2.708,Down
1990,-2.292,Up
1990,-4.978,Up
1990,3.547,Down
1990,0.26,Down
1990,-2.032,Down
1990,-1.739,Up
1990,-1.693,Down
1990,1.781,Up
1990,-3.682,Down
1990,4.15,Up
1990,-2.487,Up
1990,2.343,Up
1990,0.606,Down
1990,1.077,Up
1990,-0.637,Up
1990,2.26,Down
1990,1.716,Up
1990,-0.284,Down
1990,1.508,Down
1991,-0.913,Down
1991,-2.349,Up
1991,-1.798,Up
1991,5.393,Up
1991,1.156,Up
1991,2.077,Up
1991,4.751,Down
1991,2.702,Up
1991,-0.924,Up
1991,1.318,Down
1991,1.209,Down
1991,-0.363,Up
1991,-1.635,Up
1991,2.106,Up
1991,0.037,Up
1991,1.343,Down
1991,0.999,Up
1991,-1.348,Down
1991,0.47,Down
1991,-1.329,Up
1991,-0.892,Up
1991,1.37,Down
1991,3.269,Up
1991,-2.668,Down
1991,0.754,Down
1991,-1.188,Up
1991,-1.745,Up
1991,0.787,Up
1991,1.649,Down
1991,1.044,Up
1991,-0.856,Down
1991,1.641,Down
1991,-0.015,Up
1991,-0.398,Up
1991,2.228,Down
1991,0.32,Down
1991,-1.601,Up
1991,-1.416,Down
1991,1.129,Down
1991,-0.521,Up
1991,-1.205,Up
1991,0.052,Down
1991,2.897,Up
1991,-2.115,Up
1991,1.853,Down
1991,0.401,Down
1991,-2.614,Down
1991,-1.694,Up
1991,-0.245,Up
1991,1.034,Up
1991,1.417,Up
1991,0.668,Up
1992,5.018,Down
1992,3.169,Up
1992,-1.011,Down
1992,0.906,Down
1992,-0.807,Up
1992,-1.613,Up
1992,0.565,Down
1992,0.338,Up
1992,-0.255,Down
1992,0.309,Up
1992,-2.001,Up
1992,0.346,Down
1992,1.345,Down
1992,-1.896,Up
1992,-0.483,Up
1992,0.682,Down
1992,2.906,Up
1992,-1.687,Up
1992,0.858,Down
1992,0.853,Up
1992,-1.433,Up
1992,0.958,Down
1992,0.321,Down
1992,-0.45,Down
1992,-0.9,Down
1992,-1.486,Up
1992,-0.054,Up
1992,2.062,Up
1992,0.692,Down
1992,0.241,Up
1992,-0.967,Down
1992,3.064,Up
1992,-1.256,Down
1992,0.246,Down
1992,-1.205,Up
1992,-0.002,Up
1992,0.54,Up
1992,0.599,Down
1992,0.798,Down
1992,-2.029,Down
1992,-0.936,Up
1992,-1.903,Up
1992,2.253,Up
1992,0.576,Down
1992,1.106,Up
1992,-0.263,Up
1992,1.161,Up
1992,0.999,Up
1992,0.823,Up
1992,0.442,Up
1992,0.387,Down
1992,1.741,Down
1993,-0.342,Down
1993,-0.923,Up
1993,-1.529,Down
1993,1.888,Up
1993,-0.238,Up
1993,0.612,Down
1993,2.313,Down
1993,-0.969,Up
1993,-2.33,Up
1993,2.11,Up
1993,0.616,Up
1993,0.834,Down
1993,0.078,Down
1993,-0.533,Up
1993,-1.427,Up
1993,0.102,Down
1993,1.607,Up
1993,-2.653,Up
1993,0.723,Down
1993,0.482,Up
1993,-0.622,Up
1993,1.429,Down
1993,0.976,Down
1993,-0.029,Down
1993,-0.622,Up
1993,-0.8,Down
1993,0.884,Up
1993,-0.393,Down
1993,0.509,Up
1993,-0.527,Up
1993,0.303,Up
1993,0.23,Up
1993,0.123,Up
1993,0.325,Up
1993,1.337,Up
1993,0.96,Up
1993,0.174,Down
1993,0.082,Down
1993,-0.626,Up
1993,-0.262,Down
1993,0.798,Up
1993,-0.21,Down
1993,1.996,Up
1993,-1.327,Down
1993,0.984,Up
1993,-1.766,Down
1993,1.266,Up
1993,-0.599,Up
1993,0.099,Down
1993,0.395,Up
1993,-0.207,Up
1993,0.528,Down
1994,0.214,Up
1994,-0.199,Up
1994,0.74,Down
1994,1.066,Up
1994,-0.04,Down
1994,0.838,Up
1994,-1.857,Down
1994,0.079,Down
1994,-0.53,Down
1994,-0.346,Up
1994,-0.285,Up
1994,0.366,Down
1994,0.99,Down
1994,-2.225,Up
1994,-3.216,Down
1994,0.298,Up
1994,-0.206,Up
1994,0.325,Down
1994,0.733,Down
1994,-0.685,Up
1994,-0.822,Up
1994,2.427,Up
1994,0.53,Down
1994,0.612,Down
1994,-0.317,Down
1994,-0.048,Up
1994,-3.414,Up
1994,0.768,Up
1994,0.751,Down
1994,1.025,Up
1994,-0.231,Down
1994,1.137,Up
1994,-0.255,Up
